protein_annotation	label
Alkylated DNA repair protein	2
peptide chain release factor PrfB2, chloroplastic isoform X1	2
20S proteasome A and B subunit	2
Putative Regulatory protein IclR	2
Cytosine-specific DNA methyltransferase	2
Uncultured bacterium extrachromosomal DNA RGI00048	0
THAP-type domain-containing protein	2
Chromatin structure-remodeling complex subunit snf21	2
Thymidylate kinase-like protein	2
Competence protein ComE	2
Glutamine amidotransferase class-II	2
Phosphoribosyl pyrophosphate synthetase, putative	2
Putative comE operon protein 2	2
DNA polymerase III, subunit gamma and tau	2
Laminin G domain protein	2
Glutathione synthase/ribosomal protein S6 modification enzyme (Glutaminyl transferase)	2
Quaking_NLS domain-containing protein	2
DNA ligase	2
Bicupin oxalate decarboxylase/oxidase	2
HAD-IIA family hydrolase	2
Citrate-binding protein	2
Exonuclease VIII, ds DNA exonuclease encoded by prophage	2
Putative von Willebrand factor type A domain protein-like protein	2
Unplaced genomic scaffold scaffold_17, whole genome shotgun sequence	0
Ap4A hydrolase	2
Probable integrase/recombinase	2
Chromosome segregation ATPase-like protein	2
Endonuclease/Exonuclease/phosphatase family protein	2
Centromeric protein-C, isoform A	2
Uncharacterized N-acetyltransferase YycN	2
19	0
Putative exodeoxyribonuclease VIII	2
Putative chromatin remodeling complex swi/snf component swi2	2
Streptomycin biosynthesis protein StrI	2
Prophage LambdaBa02 protein	2
Putative surface/cell-adhesion protein, multiple big2 domain	2
Phage phiEco32-like COOH-NH2 ligase-type 2	2
Mitochondroal chaperone, putative	2
Structure structural component	2
Cholesterol dehydrogenase	2
Prepilin-type cleavage/methylation domain-containing protein	2
ATP-dependent RNA helicase dhh1	2
Type III restriction-modification system methylation subunit	2
QbsD	2
Spermine/spermidine acetyltransferase	2
5'(3')-deoxyribonucleotidase, cytosolic type-like	2
Dna primase small subunit	2
Bifunctional 4'-phosphopantothenoylcysteine decarboxylase/phosphopantothenoylcysteine synthetase	2
Putative superoxide dismutase protein	2
Tail length tape measure protein	2
Predicted ATPase with chaperone activity	2
Putative bacteriophage protein GP46(Fragment)	0
prohibitin-3, mitochondrial-like	2
Attractin	2
DgyrCDS12134	0
influenza virus NS1A-binding protein homolog A	2
P4H1 protein	2
Uncharacterized LOC105917673	0
Prophage tail fiber protein	2
Putative metallopeptidase domain containing protein	2
HTH-type transcriptional regulator GltC	2
NSP5 protein	2
Phage/plasmid primase, P4 family, C-terminal domain	2
KxYKxGKxW signal peptide containing protein	2
uncharacterized protein LOC110278262	0
Bis(5'-nucleosyl)-tetraphosphatase PrpE	2
DNA segregation ATPase FtsK/SpoIIIE S-DNA-T family	2
CRISPR-associated protein Cas2	2
Putative restriction methylase	2
Heterochromatin-associated protein HP1 and related CHROMO domain proteins	2
KLH33 protein	2
Integral membrane protein TerC	2
Hsp60-like protein	2
Protein of unassigned function	0
Polymerase III, epsilon subunit protein	2
5'-deoxynucleotidase, HD superfamily hydrolase	2
P-loop containing nucleoside triphosphate hydrolases superfamily protein	2
VRR-NUC domain	2
Fe2+/Zn2+ uptake regulation proteins	2
Mu-like prophage F protein	2
DUF4376 domain-containing protein	1
GIY-YIG endonuclease	2
Transcriptional regulator, rpiR family	2
UDP-galactose-4-epimerase	2
PEP-CTERM domain-containing protein	2
GuKc domain-containing protein	2
GMP synthase	2
DNA gyrase inhibitor	2
Pectin lyase fold domain protein, virulence factor	2
Phosphoribosyl pyrophosphate synthetase associated protein 2	2
Prophage endopeptidase	2
DNA polymerase III subunit	2
Glutamine amidotransferase-like protein	2
Paar repeat-containing protein	2
Attractin-like protein 1	2
Serum response factor-binding protein 1	2
Polyketide biosynthesis malonyl CoA-acyl carrier protein transacylase BaeC	2
Ribonucleotide Reductase Catalytic Subunit M1	2
dTDP-fucosamine acetyltransferase	2
Procaryotic DNA polymerase I	2
DUF3592 domain-containing protein	1
2-heptaprenyl-1,4-naphthoquinone methyltransferase	2
DUF1257 domain-containing protein	1
Kelch repeat and BTB domain-containing protein 2	2
Polyadenylate-specific 3'-exoribonuclease AS	2
Protein CHROMATIN REMODELING 8	2
DnaB C-terminal domain-containing protein	2
Proteasome subunit beta type-11-like	2
dnaJ protein homolog 2-like	2
Peptidase M23B	2
Glycine/D-amino acid oxidases (Deaminating)	2
PF12686 family protein	1
Lipopolysaccharide biosynthetic protein LpxO1	2
Branched-chain amino acid ABC transporter2C amino acid-binding protein	2
Glycogen debranching protein	2
Histone deacetylase family protein	2
Group 1 glycosyl transferase	2
Invasion-associated locus B family protein	2
IPT/TIG domain	2
Glutamine-hydrolyzing asparagine synthase	2
Lymphocyte-specific helicase-like	2
6-phosphofructo-2-kinase/fructose-2, 6-bisphosphatase 4-like	2
Acetyltransferase, GNAT	2
Epimerase domain-containing protein	2
MarR family protein	2
DNA (cytosine-5-)-methyltransferase 3 alpha a	2
Putative IclR family transcriptional regulator	2
probable helicase CHR10 isoform X2	2
DDHD domain protein	2
Metallopeptidase SprT	2
HELLS helicase	2
Acyl-CoA dehydrogenase probable dibenzothiophene desulfurization enzyme	2
Putative phage polynucleotide kinase	2
Putative peptidase, S24-like	2
Phosphatase / protein serine/threonine kinase	2
Tetratricopeptide TPR_2 repeat-containing protein	2
Short chain dehydrogenase	2
DgyrCDS7900	0
Chaperone (AssE2)	2
Putative Similar to bacteriophage protein	0
Fibronectin type-III domain-containing protein	2
N-acetyl-gamma-glutamyl-phosphate reductase	2
NTTRR-F1 domain	2
Kelch repeat-containing protein kel-10	2
PF03681 family protein	1
SMRCD regulator	2
Macro domain, possibly ADP-ribose binding module	2
Phage tail fiber repeat protein	2
Thymidylat_synt domain-containing protein	2
Spermidine N(1)-acetyltransferase	2
Integrase core domain	2
Exported fimbriae assembly protein	2
Mu-like prophage FluMu protein gp28-like protein	0
Type-4 uracil-DNA glycosylase	2
Putative type I polyketide synthase	2
Cep76 protein	2
Nucleoid-associated protein NdpA	2
phosphoribosyl pyrophosphate synthase-associated protein 1 isoform X1	2
Pyruvate carboxylase	2
Chromosomal partitioning gene	2
DUF1887 family protein	1
Metal-dependent phosphohydrolase hd sub domain protein	2
Putative Phage major tail protein, Phi13 family	2
Beta-barrel assembly machine subunit BamC	2
ABC transporter substrate-binding lipoprotein YvgL (Modular protein)	2
Short chain dehydrogenase/reductase family oxidoreductase	2
Putative transposase/integrase	2
UvrABC system protein A	2
RAD51, putative	2
Kelch repeat-containing protein 2	2
Putative phosphopantothenate--cysteine ligase 2	2
Terminase large (ATPase) subunit and inactivated derivatives	2
5'-3' exonuclease, N-terminal resolvase-like domain	2
Kelch-like family member 2	2
TerD-family protein	2
Acyl-CoA-binding domain-containing protein 4	2
Prophage CP4-like integrase	2
uncharacterized protein LOC116305654	0
Phage virion	2
Lipid A 3-O-deacylase	2
Phosphatidylserine decarboxylase	2
Parallel beta-helix repeat protein	2
Transposase, IS204/IS1001/IS1096/IS1165	2
Peptide chain release factor PrfB1 chloroplastic	2
23S rRNA (Adenine-N6)-dimethyltransferase	2
Putative von Willebrand factor, type A	2
Putative gpG protein	0
Unplaced genomic scaffold K443scaffold_267, whole genome shotgun sequence	0
uncharacterized protein LOC107862803	0
Zinc finger protein	2
kelch-like protein 32 isoform X1	2
Tail fiber assembly protein, putative	2
Transcription elongation protein SprT	2
Single-strand DNA-binding protein	2
uncharacterized protein LOC113082488	0
Ribosome production factor 2 homolog	2
50S ribosomal protein L25	2
Phage baseplate	2
Helix-turn-helix domain of resolvase	2
Acetyltransferase family protein	2
AAA-ATPase At3g28540	2
Choline sulfatase	2
UPF0200 protein GKC00_08395	1
Invasion protein IalB, involved in pathogenesis	2
uncharacterized protein LOC110754071	0
Thioredoxin-like protein 1	2
Glucosamine 6-phosphate N-acetyltransferase 1	2
Uncharacterized protein P8A3.02c	0
DUF5641 domain-containing protein	1
DUF2815 family protein	1
DUF724 domain-containing protein 6-like	1
Mu-like prophage protein gp29 (DUF935 domain)	1
PF11863 family protein	1
DUF1353 domain protein	1
DUF3696 domain-containing protein	1
DUF4907 domain-containing protein	1
DUF697 domain-containing protein	1
WD-40 repeat protein	1
Asparagine-rich protein, putative	1
LINOCIN M18	1
Putative phage late control gene D protein	2
Pseudouridine synthase	2
BRO family, N-terminal domain protein	2
PI-PLC Y-box domain-containing protein	2
Sodium/proton antiporter, CPA1 family	2
FeSOD	2
P22_AR N-terminal domain	2
Mannose-P-dolichol utilization defect 1 protein	2
Protein LvrA	2
BclA_C domain-containing protein	2
O-fucosyltransferase family protein	2
Phage head morphogenesis protein	2
TRCF domain protein	2
Circumsporozoite protein	2
Phenylpropionate dioxygenase ferredoxin reductase subunit	2
Phosphate starvation-inducible ATPase phoH	2
PT repeat-containing protein	2
Eukaryotic initiation factor 4A-III	2
DNA topoisomerase type II	2
Flagellar rod assembly protein/muramidase FlgJ	2
GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	2
Phage tail assembly chaperone gp38	2
Predicted ribonuclease YlaK, contains NYN-type RNase and PhoH-family ATPase domains	2
Cell division protein DedD	2
5'-deoxynucleotidase AKG98_225	2
Kelch-like protein 35	2
26S protease regulatory subunit 8 homolog B	2
Polynucleotidyl transferase, ribonuclease H-like superfamily protein 1	2
TOPRIM domain protein	2
Kelch domain-containing 3	2
Protein translocase subunit SecA	2
Glycosyl transferase family 25	2
Predicted 2-oxoglutarate-and Fe(II)-dependent dioxygenase YbiX	2
Pentraxin fusion-like protein	2
Methyltransferase domain	2
tRNA (Cytosine(38)-C(5))-methyltransferase-like	2
Putative Antirepressor	2
SLAM family member 6 isoform X1	2
Amidohydro-rel domain-containing protein	2
Putative alpha glycosidase Glycoside hydrolase family 13	2
LAGLDADG endonuclease	2
Phage tail sheath gpL-like	2
Peptidase M14 carboxypeptidase A	2
Acetyltransferase	2
Peptide chain release factor PrfB2	2
Cytidine and deoxycytidylate deaminase	2
Modification methylase Bsp6I	2
Sel1l2 protein	2
Cupin-1 multi-domain protein	2
Ser/thr protein phosphatase family protein	2
Phage tail assembly chaperone family protein, TAC	2
Galactokinase	2
Heavy metal transporter	2
PREDICTED: D-cysteine desulfhydrase	2
NAD-binding oxidoreductase	2
26S protease regulatory subunit 8, variant 2	2
Putative phage virion morphogenesis protein	2
Ribonuclease HII	2
RNA polymerase sigma factor	2
Putative prophage antirepressor	2
Virulence factor MVIN family protein	2
RNA polymerase sigma24 factor	2
Aspartyl:asparaginyl beta hydroxylase	2
Dcysteine desulfhydrase	2
Ubiquinol:cytochrome C oxidoreductase biogenesis factor	2
Probable thymidylate synthase	2
Ubiquitin activating enzyme 2	2
Epimerase family protein	2
Tub	2
5'-deoxynucleotidase EDC44_10754	2
Putative norphogenetic protein	2
Phage tail fibre repeat protein	2
Gp46 recombination endonuclease subunit	2
DNA-binding transcriptional regulator	2
Acetylglucosamine transferase	2
Bacteriophage/transposase fusion protein	2
Kelch-like protein 2 isoform X5	2
2-oxoglutarate and Fe(II)-dependent oxygenase superfamily isoform 1	2
Flavivirus DEAD domain/DNA replication factor Dna2	2
Enoyl-CoA hydratase domain-containing protein 3, mitochondrial	2
mRNA interferase endoA	2
10 kDa heat shock protein, mitochondrial	2
Phage minor tail protein L	2
Lactonase-like protein	2
DNA-directed RNA polymerase, sigma subunit (Sigma70/sigma32)	2
Phage tail fiber protein H	2
Fibroblast growth factor receptor homolog 2	2
Virulence factor	2
Conidial yellow pigment biosynthesis polyketide synthase nscA	2
5'-3' exonuclease, SAM domain protein	2
Protein, SNF2 family	2
Type II secretory pathway pseudopilin PulG	2
Peptidoglycan lytic protein P45	2
Integrin alpha-M CD11 antigen-like family member B CR-3 alpha chain	2
host cell factor 2-like isoform X2	2
Bro family antirepressor	2
Nudix (nucleoside diphosphate-linked moiety X)-type motif 1	2
Holin (3TMs family)	2
Chromodomain-helicase-DNA-binding 2 isoform X1	2
Btaf1 protein	2
MutT/nudix family protein	2
SprT family	2
kelch-like protein 29 isoform X1	2
XkdG	2
Putative XRE-type DNA-binding protein	2
T2SS-T3SS_pil_N domain-containing protein	2
tubulin epsilon chain isoform X4	2
DNA endonuclease	2
Adenylyltransferase/cytidyltransferase family protein	2
Phage tape measure domain-containing protein	2
ATP-dependent RNA helicase DbpA	2
Putative DNA-binding transcriptional regulator	2
Death-on-curing family protein	2
NADH-ubiquinone oxidoreductase chain 4	2
Ribonucleoside-diphosphate reductase small chain protein	2
Anaerobic ribonucleoside-triphosphate reductase	2
Putative DNA binding CopG/RHH family protein	2
DinG family ATP-dependent helicase YoaA	2
ATP dependent Clp protease	2
Bacteriophage Mu tail sheath protein GpL family protein	2
Type 3 dihydrofolate reductase	2
Replication factor C, subunit RFC5	2
Putative Site-specific recombinase XerD	2
LvrA	2
Putative Microcystin-dependent protein	2
Uncharacterized protein YjdB/endo-1,4-beta-D-glucanase Y	2
Hepatitis A virus cellular receptor 1	2
RmlD_sub_bind domain-containing protein	2
Kelch domain-containing isoform A	2
Reverse transcriptase, RNaseH, putative	2
N4BP2 protein	2
RGS domain-containing protein	2
Putative endopeptidase (Protein gp15)	2
Brain-specific angiogenesis inhibitor 1-associated protein 2	2
Primase-polymerase (Primpol)-like protein	2
DnaJ-class molecular chaperone CbpA	2
Ribonuclease H1-like Protein	2
Beta-aspartyl asparaginyl family	2
NADH-dependent phenylglyoxylate dehydrogenase subunit epsilon	2
N-terminal acetyltransferase complex ARD1 subunit A	2
Diguanylate cyclase (GGDEF) domain	2
Protein-S-isoprenylcysteine O-methyltransferase	2
ANXA8 protein	2
Putative glutamine amidotransferase-like protein YvdE	2
Putative membrane bound ATPase	2
Exonuclease VII	2
Chaperonin 60 subunit beta 2, chloroplastic	2
Putative Uncharacterized phosphosugar isomerase aq_1546	2
Thioredoxin O1, mitochondrial	2
Kelch motif/HYR domain protein	2
G-patch domain and KOW motifs	2
Portal protein	2
F-box protein At3g54460-like	2
NAD_synthase domain-containing protein	2
Estradiol 17-beta-dehydrogenase	2
Trafficking protein particle complex 8	2
Bacteriophage HNH endonuclease	2
DnaJ-like protein subfamily B member 1	2
TOP2B protein	2
Peptide chain release factor 2 programmed frameshift-containing	2
Peptidase S26B, signal peptidase	2
Protein SNF2 family	2
RNA polymerase sigma-E factor	2
Similar to DNA double-strand break repair Rad50 ATPase acc. no. Q58718	2
NUDIX hydrolase domain	2
Putative sulfate transport protein CysZ	2
Peptide chain release factor class A (=1)	2
GDSL-like lipase/acylhydrolase	2
Kelch repeat protein	2
Acyl-CoA thioesterase 1	2
Putative Baseplate J family protein	2
Two pore domain potassium channel family protein	2
Chloramphenicol phosphotransferase family protein	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1B	2
SPP1 family phage portal protein	2
Yqaj viral recombinase	2
Spore_coat_protein_CotF	2
Phage_int_SAM_2 domain-containing protein	2
POL4 protein	2
Cell division protein ftsZ	2
DNA polymerase III alpha subunit (Gram-positive type)	2
Tail component of prophage CP-933X	2
Similar to S.cerevisiae protein ZTA1 (NADPH-dependent quinone reductase)	2
NUC	2
Phospholipid N-methyltransferase	2
Putative deoxycytidine triphosphate deaminase	2
NB-ARC domain containing protein expressed	2
RecA	2
Putative phosphoadenosine phosphosulfate reductase	2
Lipolytic enzyme, GDSL domain protein	2
Vicilin-like antimicrobial peptides 2-2	2
NAD-dependent uronate-dehydrogenase	2
Nucleotidyltransferase-like protein	2
APS kinase	2
Anaphase-promoting complex subunit 2	2
Acyl-CoA thioesterase	2
F-box/kelch-repeat protein at1g55270-like protein	2
SGNH family lipase/esterase	2
NhaP-type antiporter	2
Rna recognition motif-containing protein	2
8-oxo-dGTP pyrophosphatase MutT (NUDIX family)	2
Prophage tail fiber assembly protein homolog TfaE	2
Chemical-damaging agent resistance protein C	2
Swr1 complex component	2
Cytosine-specific methyltransferase	2
DNA circulation family protein	2
Carbonic anhydrase	2
Hep_Hag family protein	2
Phage terminase, small subunit, putative, P27	2
Replication initiator protein A, N-terminal domain protein	2
PucR-like helix-turn-helix protein	2
ATP/GTP-binding motif protein	2
Sensory box ggdef family protein	2
Putative Zn peptidase	2
Bacterial stress domain protein	2
SWI/SNF-related matrix-associated actin-dependent regulator of chromatin subfamily A containing DEAD/H box 1 homolog isoform X2	2
DNA mismatch repair protein MutT	2
NmrA domain-containing protein	2
Gamma-glutamylcyclotransferase family protein ytfP	2
DNA_pol3_beta_2 domain-containing protein	2
Gamma-glutamyl-GABA hydrolase	2
Cupin domain protein	2
Nucleoside triphosphatase, D5 family	2
Heat shock protein	2
Putative Rac prophage prophage lambda endopeptidase	2
Replication factor C / DNA polymerase III gamma-tau subunit isoform 2	2
Pif1 protein	2
Band_7_C domain-containing protein	2
RING/U-box superfamily protein	2
Tail tube protein	2
SWF/SNF helicase family protein	2
KLD8B protein	2
Primase-polymerase (Primpol) domain-containing protein	2
Threonine dehydrogenase-like Zn-dependent dehydrogenase	2
Putative heat shock protein	2
Phenylalanine--tRNA ligase beta subunit	2
Autotransporter adhesin	2
SNF2-related protein	2
GalE-1 UDP-glucose 4-epimerase	2
Probable serine/threonine-protein kinase	2
AAA-type ATPase family protein isoform 2	2
Phage tail fiber repeat family protein	2
Phage DNA polymerase	2
Adenine DNA glycosylase	2
Dolichyl-diphosphooligosaccharide--protein glycosyltransferase	2
Polynucleotide kinase polynucleotide ligase	2
Nudix-family protein	2
SNF2 helicase	2
LADLIDADG maturase/endonuclease-like protein	2
NAD(P)-bd_dom domain-containing protein	2
Glycine zipper 2TM domain protein	2
Kelch repeat and BTB domain-containing protein	2
Carbohydrate binding protein with CBMX2 domain	2
Lysozyme domain protein	2
Transcriptional regulator, IclR family	2
Ribosomal protein S5 alanine N-acetyltransferase	2
Putative nedd4 binding protein 2	2
Ser/Thr phosphatase family protein	2
Putative Site-specific DNA-methyltransferase (Adenine-specific)	2
LAGLIDADG DNA endonuclease family	2
Intein-containing DNA gyrase subunit B	2
Putative AAA domain-containing protein	2
ASPH	2
P22_AR_N domain-containing protein	2
SNF family helicase	2
Cell Wall Hydrolase	2
Phosphate starvation-inducible phoH	2
HTH_45 domain-containing protein	2
Fur-regulated protein	2
Restriction endonuclease, type I, R subunit/Type III, Res subunit	2
Erlin-2	2
2-oxoglutarate and iron-dependent oxygenase domain-containing protein 3-like	2
RPOL_N domain-containing protein	2
Predicted permeases	2
germin-like protein subfamily 1 member 13	2
ATPase WRNIP1 homolog C26H5.02c	2
PHB domain-containing protein	2
Protein export-enhancing protease (Spore outgrowth)	2
EAL domain-containing protein (Putative c-di-GMP-specific phosphodiesterase class I)	2
Peptidoglycan-binding ATPase	2
ECF sigma factor	2
Kelch 2	2
Conserved hypothetical phage tail region protein	2
IclR-family regulator	2
stomatin-like protein 2, mitochondrial	2
Mu-like prophage FluMu protein	0
Enterobacteria phage P1	0
Guanosine-3	0
Putative GP46 protein	0
BQ2448_5292 protein	0
Unplaced genomic scaffold SPHSTscaffold_120, whole genome shotgun sequence	0
Contig88, whole genome shotgun sequence	0
uncharacterized protein LOC117647892	0
Bgt-1406	0
Contig77, whole genome shotgun sequence	0
77ORF016	0
uncharacterized protein LOC116300872	0
Conserved hypothetical phage-related protein	0
Uncharacterized protein AlNc14C137G7127	0
Putative gp22	0
Phage-related protein, HI1409 family	0
Putative prophage PSSB64-02, Orf47	0
MS153	0
uncharacterized protein LOC108858997	0
Si:dkey-145c18.3	0
uncharacterized protein LOC113791557	0
Unplaced genomic scaffold SPHSTscaffold_122, whole genome shotgun sequence	0
Putative phage protein p11	0
Uncharacterized LOC115059061	0
uncharacterized protein LOC108267286 isoform X1	0
Phage-associated protein-like protein	0
Hypothetical prophage protein	0
Lmo0572 protein	0
Unnamed product	0
CSON007859 protein	0
CO6A3	0
uncharacterized protein LOC110276786	0
uncharacterized protein LOC108276956 isoform X7	0
Prophage pi1 protein 03	0
Intron orf	0
Glr4129 protein	0
GP60 protein	0
uncharacterized protein LOC115023694	0
AAEL008591-PA	0
Uncharacterized protein, YkwD family	0
Uncharacterized protein conserved in bacteria	0
M23 family peptidase	2
Centromere protein 3	2
DUF5036 domain-containing protein	1
tRNA methyltransferase	2
20S proteasome core particle subunit beta 6	2
3-oxoacyl-ACP reductase	2
B7 like protein 6	2
DNA polymerase III PolC	2
Carbamoyl-phosphate synthase [ammonia], mitochondrial	2
Putative hydrolase of the HAD superfamily	2
Cell cycle checkpoint control protein RAD9	2
kelch domain-containing protein 8A-like	2
Urea carboxylase	2
DNA gyrase/topoisomerase IV, A subunit	2
Exodeoxyribonuclease V alpha chain (Modular protein)	2
SPP1 family phage head morphogenesis protein	2
Zona occludens toxin (Predicted ATPase)	2
BMA-KEL-1	0
Amidophosphoribosyltransferase, amidophosphoribosyltransferase	2
Fibroblast growth factor receptor homolog 1	2
F-box/kelch-repeat protein At2g44130-like	2
Bacteriophage HK97-gp10-like protein	0
uncharacterized protein LOC107457758	0
Murein-DD-endopeptidase	2
HTH lacI-type domain-containing protein	2
Host specificity protein J, internal	2
Exodeoxyribonuclease I	2
DNA helicase DnaB	2
Collar domain-containing protein	2
Anaerobic ribonucleoside-triphosphate reductase activating protein	2
ERI1 exoribonuclease 3	2
Predicted HD superfamily hydrolase	2
Type II secretion system protein GspD	2
Unplaced genomic scaffold SPHSTscaffold_133, whole genome shotgun sequence	0
HIR1 protein	2
Kelch-like	2
kelch-like protein 13	2
Phage protein HK97 gp10	0
ZYRO0G04972p	0
Putative hydrolase	2
S-adenosyl-L-methionine-dependent methyltransferase	2
tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein	2
IclR-family protein transcriptional regulator	2
Prophage tail length tape measure	2
Lysyl hydroxylase/galactosyltransferase/ glucosyltransferase	2
Mac 1	2
5 nucleotidase deoxy cytosolic type C	2
Prophage protein NinE	0
Short-chain fatty acid transporter	2
Putative dTDP-glucose-4,6-dehydratase-related protein	2
Glutamine amidotransferase type 1	2
Histone acetyltransferase HPA2	2
Uncharacterized LOC110005458	0
DNA topoisomerase-like protein cin-4	2
RNA polymerase subunit sigma	2
Mu Lambda phage repressor-like DNA binding protein	2
Prophage MuSo2, major head subunit, putative	2
Rab9 effector protein with kelch motif	2
Phage phiSLT minor tail protein	2
SAT1	2
Putative endopeptidase p60	2
Oxidoreductase, 2OG-Fe oxygenase family	2
ATP phosphoribosyltransferase	2
Arabinose-5-phosphate isomerase KpsF/GutQ	2
HHH_6 domain-containing protein	2
ABC-type amino acid transport system	2
Putative RNA polymerase beta' subunit	2
Transcriptional initiation protein Tat	2
SNF2 family helicase	2
Peptidoglycan-binding domain protein	2
SleB-like protein	2
Complement component 1, q subcomponent-like protein	2
Ribonuclease h protein	2
ATPase, AAA-type, CDC48 protein	2
Phosphopantothenate--cysteine ligase 1-like protein	2
Calcineurin-like phosphoesterase	2
ParB family chromosome partitioning protein	2
Host specificity protein J	2
Rubisco activation protein CbbQ	2
BRO, N-terminal	2
Transglycosylase	2
Polynucleotide 2	0
Putative NinG protein	2
TOP2A topoisomerase	2
Toxin-antitoxin system antitoxin component HicB family	2
DNA cytosine-5--methyltransferase 3	2
Gp27	0
Sugar dehydrogenase	2
Type-1 restriction enzyme R protein	2
Deoxycytidylate deaminase-related	2
Phage-associated portal protein	2
SmpA/OmlA domain protein	2
OMPdecase	2
Leucine rich repeat-containing protein	1
Stringent starvation protein B-like protein	2
Predicted DNA-binding protein, contains XRE-type HTH domain	2
F-box/kelch-repeat protein SKIP11	2
Subunit Snf22 of SWI/SNF chromatin-remodeling complex	2
P22 coat protein Gp5	2
Kelch like family member 8	2
BON domain-containing protein	2
Chloramphenicol phosphotransferase-like protein	2
Gp26, putative	0
Cell wall lytic activity protein	2
SWI2/SNF2 ISWI-like SANT	2
Type VI secretion system needle protein Hcp	2
7-dehydrocholesterol reductase	2
DnaJ subfamily B member 13	2
Alpha-ketoglutarate-dependent dioxygenase alkB homolog 6	2
DNA (Cytosine-5-)-methyltransferase 3 alpha b	2
Stress response protein	2
GCN5-like N-acetyltransferase	2
Response regulator receiver	2
RIIA protein	2
Uncharacterized protein DUF3380	1
Type VI secretion system protein VasI	2
Late control D family	2
Ribonucleotide reductase, beta subunit	2
3'-5' exonuclease, PolB	2
O-methyltransferase	2
DNA-dependent RNA polymerase/ phage-type	2
Sodium hydrogen exchanger family protein	2
Peptidase S8/S53	2
FHA domain protein	2
Ribose-phosphate pyrophosphokinase 2	2
HAD-superfamily hydrolase, subfamily IA, variant 3	2
Deaminase domain-containing protein 1	2
